Title,Score,Vote,Ranked,Popularity,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Duration,Rating
Sousou no FrierenFrieren: Beyond Journey's End,9.14,128768,1,508,28,Currently Airing,"Sep 29, 2023 to Mar 2024",Fall 2023,"['Aniplex', 'Dentsu', 'Shogakukan-Shueisha Productions', 'Nippon Television Network', 'TOHO animation', 'Shogakukan']","None found, add some",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Fullmetal Alchemist: Brotherhood,9.09,2080863,2,3,64,Finished Airing,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Studio Moriken']","Funimation,       Aniplex of America",Bones,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Steins;Gate,9.07,1375512,3,13,24,Finished Airing,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,"['Frontier Works', 'Media Factory', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",Funimation,White Fox,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older
Gintama°Gintama Season 4,9.06,246431,4,337,51,Finished Airing,"Apr 8, 2015 to Mar 30, 2016",Spring 2015,"['TV Tokyo', 'Aniplex', 'Dentsu']","Funimation,       Crunchyroll",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Shingeki no Kyojin Season 3 Part 2Attack on Titan Season 3 Part 2,9.05,1545108,5,21,10,Finished Airing,"Apr 29, 2019 to Jul 1, 2019",Spring 2019,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Techno Sound', 'Pony Canyon Enterprises']",Funimation,Wit Studio,Manga,23 min. per ep.,R - 17+ (violence & profanity)
Gintama: The FinalGintama: The Very Final,9.04,69167,6,1545,1,Finished Airing,"Jan 8, 2021",,"['TV Tokyo', 'Warner Bros. Japan']",Eleven Arts,Bandai Namco Pictures,Manga,1 hr. 44 min.,PG-13 - Teens 13 or older
Hunter x Hunter (2011)Hunter x Hunter,9.04,1718520,7,10,148,Finished Airing,"Oct 2, 2011 to Sep 24, 2014",Fall 2011,"['VAP', 'Nippon Television Network', 'Shueisha']",VIZ Media,Madhouse,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Bleach: Sennen Kessen-henBleach: Thousand-Year Blood War,9.03,259569,8,422,13,Finished Airing,"Oct 11, 2022 to Dec 27, 2022",Fall 2022,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']",VIZ Media,Pierrot,Manga,24 min. per ep.,R - 17+ (violence & profanity)
Gintama'Gintama Season 2,9.03,233445,9,393,51,Finished Airing,"Apr 4, 2011 to Mar 26, 2012",Spring 2011,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Miracle Robo', 'Studio Jack', 'Shueisha']","None found, add some",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Gintama': EnchousenGintama: Enchousen,9.03,162696,10,729,13,Finished Airing,"Oct 4, 2012 to Mar 28, 2013",Fall 2012,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha', 'Miracle Bus']","None found, add some",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Kaguya-sama wa Kokurasetai: Ultra RomanticKaguya-sama: Love is War - Ultra Romantic,9.03,496713,11,185,13,Finished Airing,"Apr 9, 2022 to Jun 25, 2022",Spring 2022,"['Aniplex', 'Mainichi Broadcasting System', 'Magic Capsule', 'Shueisha', 'JR East Marketing & Communications']",Aniplex of America,A-1 Pictures,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Ginga Eiyuu DensetsuLegend of the Galactic Heroes,9.02,77708,12,742,110,Finished Airing,"Jan 8, 1988 to Mar 17, 1997",,"['TV Tokyo', 'Kitty Films', 'Tokuma Shoten', 'Tokuma Japan Communications', 'Wright Staff']",Sentai Filmworks,"K-Factory,       Kitty Film Mitaka Studio",Novel,26 min. per ep.,R - 17+ (violence & profanity)
Fruits Basket: The FinalFruits Basket: The Final Season,8.99,227095,13,475,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,"['TV Tokyo', 'TV Osaka', 'Nihon Ad Systems', 'Hakusensha', 'Avex Pictures', 'TMS Music', '8PAN']",Funimation,TMS Entertainment,Manga,23 min. per ep.,PG-13 - Teens 13 or older
Gintama.Gintama Season 5,8.98,143341,14,753,12,Finished Airing,"Jan 9, 2017 to Mar 27, 2017",Winter 2017,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Shueisha']","None found, add some",Bandai Namco Pictures,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Gintama,8.94,391003,15,139,201,Finished Airing,"Apr 4, 2006 to Mar 25, 2010",Spring 2006,"['TV Tokyo', 'Aniplex', 'Dentsu', 'Trinity Sound', 'Audio Highs', 'Miracle Robo', 'Shueisha']","Sentai Filmworks,       Crunchyroll",Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older
Shingeki no Kyojin: The Final Season - Kanketsu-henAttack on Titan: Final Season - The Final Chapters,8.94,318347,16,361,2,Finished Airing,"Mar 4, 2023 to Nov 5, 2023",,"['Production I.G', 'Dentsu', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha', 'Pony Canyon Enterprises']","None found, add some",MAPPA,Manga,1 hr. 12 min. per ep.,R - 17+ (violence & profanity)
Koe no KatachiA Silent Voice,8.93,1578036,17,20,1,Finished Airing,"Sep 17, 2016",,"['Shochiku', 'Pony Canyon', 'Kodansha', 'ABC Animation', 'Quaras']","Eleven Arts,       NYAV Post",Kyoto Animation,Manga,2 hr. 10 min.,PG-13 - Teens 13 or older
