"Body";"Weight";"Acceleration";"On.Road.traction";"Off.Road.Traction";"Mini.Turbo";"Ground.Speed";"Water.Speed";"Anti.Gravity.Speed";"Air.Speed";"Ground.Handling";"Water.Handling";"Anti.Gravity.Handling";"Air.Handling"
"Standard Kart";2,0;4,0;3,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;2,0;3,0;3,0
"Pipe Frame";1,0;6,0;3,0;4,0;6,0;1,0;3,0;1,0;1,0;5,0;4,0;4,0;2,0
"Mach 8";3,0;3,0;2,0;4,0;4,0;3,0;3,0;5,0;4,0;2,0;2,0;4,0;2,0
"Steel Driver";4,0;1,0;1,0;3,0;2,0;4,0;5,0;2,0;0,0;1,0;5,0;1,0;1,0
"Cat Cruiser";2,0;5,0;4,0;3,0;5,0;2,0;2,0;3,0;4,0;4,0;2,0;3,0;4,0
"Circuit Special";3,0;1,0;3,0;1,0;1,0;5,0;1,0;4,0;2,0;1,0;1,0;2,0;0,0
"Tri-Speeder";4,0;1,0;1,0;3,0;2,0;4,0;5,0;2,0;0,0;1,0;5,0;1,0;1,0
"Badwagon";4,0;0,0;2,0;5,0;0,0;5,0;2,0;3,0;1,0;0,0;1,0;1,0;0,0
"Prancer";1,0;2,0;1,0;2,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;2,0;3,0
"Biddybuggy";0,0;7,0;1,0;4,0;7,0;0,0;1,0;2,0;1,0;5,0;4,0;5,0;4,0
"Landship";0,0;6,0;0,0;6,0;6,0;1,0;5,0;0,0;2,0;4,0;5,0;2,0;3,0
"Sneeker";2,0;2,0;1,0;0,0;3,0;4,0;2,0;3,0;3,0;3,0;2,0;3,0;2,0
"Sports Coupe";3,0;3,0;2,0;4,0;4,0;3,0;3,0;5,0;4,0;2,0;2,0;4,0;2,0
"Gold Standard";2,0;2,0;1,0;0,0;3,0;4,0;2,0;3,0;3,0;3,0;2,0;3,0;2,0
"Standard Bike";1,0;5,0;3,0;5,0;5,0;2,0;2,0;4,0;3,0;4,0;3,0;4,0;3,0
"Comet";2,0;5,0;4,0;3,0;5,0;2,0;2,0;3,0;4,0;4,0;2,0;3,0;4,0
"Sport Bike";1,0;2,0;1,0;2,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;2,0;3,0
"The Duke";2,0;4,0;3,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;2,0;3,0;3,0
"Flame Rider";1,0;5,0;3,0;5,0;5,0;2,0;2,0;4,0;3,0;4,0;3,0;4,0;3,0
"Varmint";1,0;6,0;3,0;4,0;6,0;1,0;3,0;1,0;1,0;5,0;4,0;4,0;2,0
"Mr. Scooty";0,0;7,0;1,0;4,0;7,0;0,0;1,0;2,0;1,0;5,0;4,0;5,0;4,0
"Jet Bike";1,0;2,0;1,0;2,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;2,0;3,0
"Yoshi Bike";2,0;5,0;4,0;3,0;5,0;2,0;2,0;3,0;4,0;4,0;2,0;3,0;4,0
"Standard ATV";4,0;0,0;2,0;5,0;0,0;5,0;2,0;3,0;1,0;0,0;1,0;1,0;0,0
"Wild Wiggler";1,0;5,0;3,0;5,0;5,0;2,0;2,0;4,0;3,0;4,0;3,0;4,0;3,0
"Teddy Buggy";2,0;5,0;4,0;3,0;5,0;2,0;2,0;3,0;4,0;4,0;2,0;3,0;4,0
"GLA";4,0;0,0;2,0;5,0;0,0;5,0;2,0;3,0;1,0;0,0;1,0;1,0;0,0
"W 25 Silver Arrow";1,0;5,0;3,0;5,0;5,0;2,0;2,0;4,0;3,0;4,0;3,0;4,0;3,0
"300 SL Roadster";2,0;4,0;3,0;3,0;4,0;3,0;3,0;3,0;3,0;3,0;2,0;3,0;3,0
"Blue Falcon";0,0;3,0;1,0;3,0;3,0;4,0;2,0;4,0;3,0;2,0;3,0;5,0;1,0
"Tanooki Kart";3,0;2,0;4,0;7,0;3,0;2,0;4,0;3,0;3,0;4,0;4,0;3,0;3,0
"B Dasher";3,0;1,0;3,0;1,0;1,0;5,0;1,0;4,0;2,0;1,0;1,0;2,0;0,0
"Master Cycle";2,0;2,0;1,0;0,0;3,0;4,0;2,0;3,0;3,0;3,0;2,0;3,0;2,0
"Streetle";0,0;6,0;0,0;6,0;6,0;1,0;5,0;0,0;2,0;4,0;5,0;2,0;3,0
"P-Wing";3,0;1,0;3,0;1,0;1,0;5,0;1,0;4,0;2,0;1,0;1,0;2,0;0,0
"City Tripper";1,0;6,0;3,0;4,0;6,0;1,0;3,0;1,0;1,0;5,0;4,0;4,0;2,0
"Bone Rattler";4,0;1,0;1,0;3,0;2,0;4,0;5,0;2,0;0,0;1,0;5,0;1,0;1,0
"Koopa Clown";3,0;2,0;4,0;7,0;3,0;2,0;4,0;3,0;3,0;4,0;4,0;3,0;3,0
"Splat Buggy";0,0;3,0;1,0;3,0;3,0;4,0;2,0;4,0;3,0;2,0;3,0;5,0;1,0
"Inkstriker";3,0;3,0;2,0;4,0;4,0;3,0;3,0;5,0;4,0;2,0;2,0;4,0;2,0
