"Glider"|"Weight"|"Acceleration"|"On.Road.traction"|"Off.Road.Traction"|"Mini.Turbo"|"Ground.Speed"|"Water.Speed"|"Anti.Gravity.Speed"|"Air.Speed"|"Ground.Handling"|"Water.Handling"|"Anti.Gravity.Handling"|"Air.Handling"
"Super Glider"|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.0|2.0|1.0|0.0|1.0|1.0
"Cloud Glider"|0.0|2.0|1.0|1.0|2.0|0.0|1.0|1.0|1.0|1.0|0.0|1.0|2.0
"Wario Wing "|2.0|1.0|2.0|0.0|1.0|1.0|0.0|1.0|2.0|1.0|1.0|0.0|1.0
"Waddle Wing"|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.0|2.0|1.0|0.0|1.0|1.0
"Peach Parasol"|1.0|2.0|2.0|0.0|2.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|2.0
"Parachute"|0.0|2.0|1.0|1.0|2.0|0.0|1.0|1.0|1.0|1.0|0.0|1.0|2.0
"Parafoil"|1.0|2.0|2.0|0.0|2.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|2.0
"Flower Glider  "|0.0|2.0|1.0|1.0|2.0|0.0|1.0|1.0|1.0|1.0|0.0|1.0|2.0
"Bowser Kite"|1.0|2.0|2.0|0.0|2.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|2.0
"Plane Glider  "|2.0|1.0|2.0|0.0|1.0|1.0|0.0|1.0|2.0|1.0|1.0|0.0|1.0
"MKTV Parafoil"|1.0|2.0|2.0|0.0|2.0|0.0|0.0|1.0|1.0|1.0|1.0|0.0|2.0
"Gold Glider"|2.0|1.0|2.0|0.0|1.0|1.0|0.0|1.0|2.0|1.0|1.0|0.0|1.0
"Hylian Kite"|1.0|1.0|1.0|1.0|1.0|1.0|1.0|0.0|2.0|1.0|0.0|1.0|1.0
"Paper Glider"|0.0|2.0|1.0|1.0|2.0|0.0|1.0|1.0|1.0|1.0|0.0|1.0|2.0
