Title,Score,Vote,Ranked,Popularity,Members,Favorite,Volumes,Chapters,Status,Published,Genres,Themes,Demographics,Serialization,Author
Berserk,9.47,334154,1,1,"670,559","123,574",Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","['Gore', 'Military', 'Mythology', 'Psychological']",['Seinen'],Young Animal,"Miura, Kentarou (Story & Art), Studio Gaga (Art)"
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.30,157522,2,26,"257,957","43,113",24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","['Action', 'Adventure', 'Mystery', 'Supernatural']",[],"['Seinen', 'Shounen']",Ultra Jump,"Araki, Hirohiko (Story & Art)"
Vagabond,9.25,138009,3,15,"368,332","40,575",37,327,On Hiatus,"Sep  3, 1998 to May  21, 2015","['Action', 'Adventure', 'Award Winning']","['Historical', 'Samurai']",['Seinen'],Morning,"Inoue, Takehiko (Story & Art), Yoshikawa, Eiji (Story)"
One Piece,9.22,368951,4,3,"603,122","115,123",Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","['Action', 'Adventure', 'Fantasy']",[],['Shounen'],Shounen Jump (Weekly),"Oda, Eiichiro (Story & Art)"
Monster,9.15,94806,5,29,"238,291","20,674",18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","['Award Winning', 'Drama', 'Mystery']","['Adult Cast', 'Psychological']",['Seinen'],Big Comic Original,"Urasawa, Naoki (Story & Art)"
Slam Dunk,9.09,74246,6,55,"165,346","15,641",31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","['Award Winning', 'Sports']","['School', 'Team Sports']",['Shounen'],Shounen Jump (Weekly),"Inoue, Takehiko (Story & Art)"
Vinland Saga,9.06,125829,7,19,"294,903","32,507",Unknown,Unknown,Publishing,"Apr  13, 2005 to ?","['Action', 'Adventure', 'Award Winning', 'Drama']",[],['Seinen'],Afternoon,"Yukimura, Makoto (Story & Art)"
Fullmetal Alchemist,9.03,155629,8,20,"289,528","30,000",27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']",[],['Shounen'],Shounen Gangan,"Arakawa, Hiromu (Story & Art)"
Grand Blue (Grand Blue Dreaming),9.03,65270,9,47,"172,608","17,173",Unknown,Unknown,Publishing,"Apr  7, 2014 to ?",[],[],['Seinen'],good! Afternoon,"Inoue, Kenji (Story), Yoshioka, Kimitake (Art)"
Oyasumi Punpun (Goodnight Punpun),9.01,176269,10,9,"430,160","51,039",13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","['Drama', 'Slice of Life']",[],['Seinen'],Big Comic Spirits,"Asano, Inio (Story & Art)"
