game_id,official_id,first_name,last_name,jersey_num
0029600059,1140,Bruce,Alexander,9
0029600059,1165,Luis,Grillo,8
0029600059,1153,Joe,Crawford,17
0029600114,1147,Mike,Callahan,24
0029600114,1142,Dick,Bavetta,27
0029600114,1202,Tommie,Wood,39
0029600121,1146,Tony,Brothers,56
0029600121,1157,Terry,Durham,31
0029600121,1177,Ed,Middleton,18
0029600161,1151,Sean,Corbin,64
0029600161,1168,David,Jones,36
0029600188,1186,Blane,Reichelt,37
0029600188,1165,Luis,Grillo,8
0029600188,1153,Joe,Crawford,17
0029600213,1167,Steve,Javie,29
0029600213,1148,James,Capers,19
0029600213,1157,Terry,Durham,31
0029600248,1176,Monty,McCutchen,58
0029600248,1158,Hugh,Evans,25
0029600248,1163,Bernie,Fryer,7
0029600365,1363,Bennie,Adams,47
0029600365,1199,Tom,Washington,49
0029600365,1158,Hugh,Evans,25
0029600689,1163,Bernie,Fryer,07
0029600689,1199,Tom,Washington,49
0029600767,1151,Sean,Corbin,64
0029600767,1164,Ron,Garretson,10
0029600767,1144,Ted,Bernhardt,16
0029600762,1190,Eddie,Rush,32
0029600762,1145,Joe,Borgia,33
0029600762,1167,Steve,Javie,29
0049600006,1167,Steve,Javie,29
0049600006,1144,Ted,Bernhardt,16
0049600006,1161,Joe,Forte,45
0049600013,1154,Bob,Delaney,26
0049600013,1199,Tom,Washington,49
0049600013,1190,Eddie,Rush,4
0049600014,1158,Hugh,Evans,25
0049600014,1197,Don,Vaden,12
0049600014,1160,Nolan,Fine,50
0049600041,1163,Bernie,Fryer,7
0049600041,1190,Eddie,Rush,32
0049600041,1153,Joe,Crawford,17
0049600042,1192,Bennett,Salvatore,15
0049600042,1167,Steve,Javie,29
0049600042,1184,Ron,Olesiak,44
0049600043,1164,Ron,Garretson,10
0049600043,1153,Joe,Crawford,17
0049600043,1181,Tommy,Nunez,28
0049600047,1160,Nolan,Fine,50
0049600047,1190,Eddie,Rush,32
0049600047,1167,Steve,Javie,29
0049600048,1157,Terry,Durham,31
0049600048,1142,Dick,Bavetta,27
0049600048,1183,Bill,Oakes,21
0049600051,1154,Bob,Delaney,26
0049600051,1195,Derrick,Stafford,14
0049600051,1158,Hugh,Evans,25
0049600053,1166,Hue,Hollins,42
0049600053,1155,JB,DeRosa,52
0049600053,1192,Bennett,Salvatore,15
0049600057,1195,Derrick,Stafford,14
0049600057,1158,Hugh,Evans,25
0049600057,1164,Ron,Garretson,10
0049600058,1161,Joe,Forte,45
0049600058,1174,Ken,Mauer,41
0049600058,1190,Eddie,Rush,4
0049600063,1164,Ron,Garretson,10
0049600063,1166,Hue,Hollins,42
0049600063,1190,Eddie,Rush,32
0049600066,1158,Hugh,Evans,25
0049600066,1192,Bennett,Salvatore,15
0049600066,1167,Steve,Javie,29
0049600070,1158,Hugh,Evans,25
0049600070,1192,Bennett,Salvatore,15
0049600070,1190,Eddie,Rush,32
0049600072,1163,Bernie,Fryer,7
0049600072,1183,Bill,Oakes,21
0049600072,1167,Steve,Javie,29
0049600074,1142,Dick,Bavetta,27
0049600074,1164,Ron,Garretson,10
0049600074,1180,Jack,Nies,35
0049600076,1154,Bob,Delaney,26
0049600076,1190,Eddie,Rush,4
0049600076,1161,Joe,Forte,45
0049600078,1197,Don,Vaden,12
0049600078,1166,Hue,Hollins,42
0049600078,1153,Joe,Crawford,17
0049600079,1167,Steve,Javie,29
0049600079,1190,Eddie,Rush,32
0049600079,1142,Dick,Bavetta,27
0049600083,1190,Eddie,Rush,4
0049600083,1183,Bill,Oakes,21
0049600083,1152,Dan,Crawford,43
0049600084,1158,Hugh,Evans,25
0049600084,1192,Bennett,Salvatore,15
0049600084,1167,Steve,Javie,29
0049600085,1166,Hue,Hollins,42
0049600085,1153,Joe,Crawford,17
0049600085,1180,Jack,Nies,35
0049600086,1142,Dick,Bavetta,27
0049600086,1161,Joe,Forte,45
0049600086,1190,Eddie,Rush,4
0049600088,1153,Joe,Crawford,17
0049600088,1192,Bennett,Salvatore,15
0049600088,1167,Steve,Javie,29
0029700013,1194,Bill,Spooner,22
0029700013,1150,Jimmy,Clark,6
0029700013,1142,Dick,Bavetta,27
0029700004,1192,Bennett,Salvatore,15
0029700004,1157,Terry,Durham,31
0029700004,1176,Monty,McCutchen,58
0029700025,1159,Kevin,Fehr,62
0029700025,1142,Dick,Bavetta,27
0029700025,1150,Jimmy,Clark,6
0029700056,1160,Nolan,Fine,50
0029700056,1140,Bruce,Alexander,9
0029700056,1195,Derrick,Stafford,14
0029700085,1167,Steve,Javie,29
0029700085,1194,Bill,Spooner,22
0029700085,1159,Kevin,Fehr,62
0029700144,1167,Steve,Javie,29
0029700144,1184,Ron,Olesiak,44
0029700144,1188,Leroy,Richardson,51
0029700169,1204,Derek,Richardson,63
0029700169,1166,Hue,Hollins,42
0029700169,1140,Bruce,Alexander,9
0029700178,1167,Steve,Javie,29
0029700178,1194,Bill,Spooner,22
0029700178,1168,David,Jones,36
0029700258,1180,Jack,Nies,35
0029700258,1174,Ken,Mauer,41
0029700258,1193,Michael,Smith,59
0029700281,1167,Steve,Javie,29
0029700281,1151,Sean,Corbin,64
0029700281,1168,David,Jones,36
0029700385,1203,Mark,Wunderlich,61
0029700385,1148,James,Capers,19
0029700385,1181,Tommy,Nunez,28
0029700409,1181,Tommy,Nunez,28
0029700409,1185,Violet,Palmer,66
0029700409,1186,Blane,Reichelt,37
0029700438,1168,David,Jones,36
0029700438,1150,Jimmy,Clark,6
0029700438,1143,Gary,Benson,30
0029700712,1140,Bruce,Alexander,9
0029700712,1161,Joe,Forte,45
0029700712,1204,Derek,Richardson,63
0029700778,1183,Bill,Oakes,21
0029700778,1185,Violet,Palmer,66
0029700778,1186,Blane,Reichelt,37
0029700804,1146,Tony,Brothers,56
0029700804,1192,Bennett,Salvatore,15
0029700804,1177,Ed,Middleton,18
0029700842,1181,Tommy,Nunez,28
0029700842,1193,Michael,Smith,59
0029700842,1151,Sean,Corbin,64
0029700915,1159,Kevin,Fehr,62
0029700915,1195,Derrick,Stafford,14
0029700915,1168,David,Jones,36
0029701032,1165,Luis,Grillo,8
0029701032,1179,Rodney,Mott,71
0029701032,1157,Terry,Durham,31
0029701045,1661,Rashan,Michel,74
0029701045,1186,Blane,Reichelt,37
0029701045,1183,Bill,Oakes,21
0029701113,1198,Scott,Wall,60
0029701113,1163,Bernie,Fryer,7
0029701113,1147,Mike,Callahan,24
0029701140,1186,Blane,Reichelt,37
0029701140,1181,Tommy,Nunez,28
0029701140,1180,Jack,Nies,35
0029800007,1662,Bill,Kennedy,73
0029800007,1203,Mark,Wunderlich,61
0029800007,1163,Bernie,Fryer,7
0029800010,1146,Tony,Brothers,56
0029800010,1165,Luis,Grillo,8
0029800010,1158,Hugh,Evans,25
0029800006,1161,Joe,Forte,45
0029800006,1159,Kevin,Fehr,62
0029800006,1155,JB,DeRosa,52
0029800042,1195,Derrick,Stafford,14
0029800042,1204,Derek,Richardson,63
0029800042,1168,David,Jones,36
0029800038,1152,Dan,Crawford,43
0029800038,1185,Violet,Palmer,66
0029800038,1157,Terry,Durham,31
0029800041,1200,Greg,Willard,57
0029800041,1661,Rashan,Michel,74
0029800041,1164,Ron,Garretson,10
0029800059,1195,Derrick,Stafford,14
0029800059,1163,Bernie,Fryer,7
0029800059,1204,Derek,Richardson,63
0029800061,1150,Jimmy,Clark,6
0029800061,1162,Scott,Foster,48
0029800061,1202,Tommie,Wood,39
0029800060,1142,Dick,Bavetta,27
0029800060,1155,JB,DeRosa,52
0029800060,1159,Kevin,Fehr,62
0029800075,1180,Jack,Nies,35
0029800075,1160,Nolan,Fine,50
0029800075,1201,Leon,Wood,40
0029800137,1180,Jack,Nies,35
0029800137,1201,Leon,Wood,40
0029800137,1193,Michael,Smith,59
0029800185,1363,Bennie,Adams,47
0029800185,1200,Greg,Willard,57
0029800185,1164,Ron,Garretson,10
0029800238,1170,Denise,Kantner,65
0029800238,1157,Terry,Durham,31
0029800238,1163,Bernie,Fryer,7
0029800289,1155,JB,DeRosa,52
0029800289,1142,Dick,Bavetta,27
0029800289,1170,Denise,Kantner,65
0029800292,1165,Luis,Grillo,8
0029800292,1195,Derrick,Stafford,14
0029800292,1661,Rashan,Michel,74
0029800383,1180,Jack,Nies,35
0029800383,1830,Marc,Davis,64
0029800383,1827,George,Toliver,23
0029800387,1181,Tommy,Nunez,28
0029800387,1198,Scott,Wall,60
0029800387,1154,Bob,Delaney,26
0029800466,1159,Kevin,Fehr,62
0029800466,1203,Mark,Wunderlich,61
0029800466,1158,Hugh,Evans,25
0029800506,1189,Phil,Robinson,70
0029800506,1203,Mark,Wunderlich,61
0029800506,1825,Mike,Mathis,13
0029900157,1200,Greg,Willard,57
0029900157,1363,Bennie,Adams,47
0029900157,1181,Tommy,Nunez,28
0029900200,1168,David,Jones,36
0029900200,1155,JB,DeRosa,52
0029900200,1662,Bill,Kennedy,73
